date,DJIA,DJIA_return,Nasdaq_Composite_Index,Nasdaq_Composite_Index_return,S_P500,S_P500_return,Nasdaq_100,Nasdaq_100_return,HSI,HSI_return,SH,SH_return,BTC,BTC_return
45th week of 2017,23422.21,0.7200567325,6750.94,1.62584766,2582.3,1.13182047,6309.07,2.094373656,29120.92,-0.4018842811,3432.67,-0.1311981635,7761.94,7.609445577
46th week of 2017,23358.24,0.7247673626,6782.79,1.613517446,2578.85,1.134672432,6314.51,2.091707828,29199.04,-0.4034844981,3382.91,-0.1184187578,8700.01,6.681140596
47th week of 2017,23557.99,0.7101429282,6889.16,1.573164217,2602.42,1.1153388,6409.29,2.045987933,29866.32,-0.4168119809,3353.82,-0.1107721941,10890.01,5.136449829
48th week of 2017,24231.59,0.6626036509,6847.59,1.588785251,2642.22,1.083475259,6337.87,2.080312471,29074.24,-0.4009239794,3317.62,-0.1010694413,14656.07,3.559612502
49th week of 2017,24329.16,0.6559359222,6840.08,1.591627583,2651.5,1.076183292,6344.57,2.077059596,28639.85,-0.3918375969,3289.99,-0.09352004109,19102.66,2.498256264
50th week of 2017,24651.74,0.6342671957,6936.58,1.555573496,2675.81,1.057320961,6466.32,2.019123706,28848.11,-0.3962280371,3266.14,-0.08690074522,13300,4.024511278
51th week of 2017,24754.06,0.6275120122,6959.96,1.546988776,2683.34,1.051547698,6465.17,2.019660736,29578.01,-0.4111273882,3297.06,-0.09546383748,12440.01,4.371860634
52th week of 2017,24719.22,0.6298058758,6903.39,1.567860138,2673.61,1.059013843,6396.42,2.052116653,29919.15,-0.4178417502,3307.17,-0.09822899942,17069.79,2.914869486
01th week of 2018,25295.87,0.5926524765,7136.56,1.48396146,2743.15,1.00681698,6653.29,1.934280634,30814.64,-0.4347595818,3391.75,-0.1207164443,14210,3.702744546
02th week of 2018,25803.19,0.5613391212,7261.06,1.441370819,2786.24,0.9757809808,6758.54,1.888585405,31412.54,-0.4455182548,3428.94,-0.1302530811,12799.94,4.220805723
03th week of 2018,26071.72,0.5452578503,7336.38,1.416306135,2810.3,0.9588656015,6834.33,1.856552142,32254.89,-0.4599987785,3487.86,-0.1449456113,11491,4.815507789
04th week of 2018,26616.71,0.513617949,7505.77,1.361775008,2872.87,0.9162022646,7022.97,1.779823921,33154.12,-0.4746450818,3558.13,-0.1618321984,9199.96,6.263727234
05th week of 2018,25520.96,0.5786055854,7240.95,1.44815114,2762.13,0.9930271204,6760.29,1.887837652,32601.78,-0.4657445084,3462.08,-0.1385785424,8533.98,6.830578464
06th week of 2018,24190.9,0.6654002125,6874.49,1.578655289,2619.55,1.101505984,6412.68,2.044377702,29507.42,-0.4097186403,3129.85,-0.04713963928,11039.55,5.053326449
07th week of 2018,25219.38,0.5974829675,7239.47,1.448651628,2732.22,1.014845071,6770.66,1.883414615,31115.43,-0.4402237089,3199.16,-0.06778341815,9694.51,5.893179748
08th week of 2018,25309.99,0.5917639636,7337.39,1.415973527,2747.3,1.003785535,6896.6,1.830760085,31267.17,-0.4429403109,3289.02,-0.09325270141,11464.48,4.828960406
09th week of 2018,24538.06,0.6418384338,7257.87,1.442443857,2691.25,1.045517882,6811.04,1.866319975,30583.45,-0.4304867502,3254.53,-0.08364341395,8770.22,6.619649222
10th week of 2018,25335.74,0.590146173,7560.81,1.344582128,2786.57,0.9755469986,7101.18,1.749207878,30996.21,-0.4380706544,3307.17,-0.09822899942,7824.8,7.54028218
11th week of 2018,24946.51,0.6149565611,7481.988,1.369282068,2752.01,1.000356103,7019.95,1.781019808,31501.97,-0.4470923564,3269.88,-0.08794512337,8546.86,6.81877789
12th week of 2018,23533.2,0.711944402,6992.67,1.535074585,2588.26,1.126911516,6508.09,1.999746469,30309.29,-0.4253352685,3152.76,-0.05406374098,6923.91,8.651483049
13th week of 2018,24103.11,0.6714660473,7063.45,1.509671619,2640.87,1.084540322,6581.13,1.966454089,30093.38,-0.42121224,3168.9,-0.05888163085,6895.8,8.6908263
14th week of 2018,23932.76,0.6833633062,6915.111,1.563507657,2604.47,1.113673799,6433.21,2.034662323,29844.94,-0.4163942028,3131.11,-0.04752308287,7999.01,7.354283843
15th week of 2018,24360.14,0.6538299862,7106.65,1.494415794,2656.3,1.072431578,6628.34,1.945325677,30808.38,-0.4346447298,3159.05,-0.05594719932,8915.31,6.495645132
16th week of 2018,24462.94,0.6468801379,7146.13,1.480634973,2670.14,1.061689649,6667.75,1.927917213,30418.33,-0.4273952581,3071.54,-0.02905057398,9348,6.148694908
17th week of 2018,24311.19,0.6571599333,7119.799,1.489809052,2669.91,1.061867254,6656.35,1.932931712,30280.67,-0.4247921199,3082.23,-0.0324180869,9864,5.774736415
18th week of 2018,24262.51,0.6604848385,7209.62,1.458789784,2663.42,1.06689144,6769.12,1.884070603,29926.5,-0.4179847293,3091.03,-0.03517274177,8465.94,6.89351212
19th week of 2018,24831.17,0.6224579833,7402.88,1.39460048,2727.72,1.01816902,6952.56,1.807975767,31122.06,-0.4403429593,3163.26,-0.05720364434,8233.49,7.116363778
20th week of 2018,24715.09,0.6300782235,7354.34,1.410405284,2712.97,1.029141494,6866.25,1.843272529,31047.91,-0.4390063615,3193.3,-0.06607271475,7333.96,8.111857714
21th week of 2018,24753.09,0.6275757895,7433.85,1.384624387,2721.33,1.022907916,6960.92,1.804603414,30588.04,-0.4305722106,3141.3,-0.05061280362,7640.03,7.746824293
22th week of 2018,24635.211,0.6353637077,7554.33,1.346593278,2734.62,1.013076771,7083.92,1.755906334,30492.91,-0.428795743,3075.14,-0.03018724351,7491.73,7.919969086
23th week of 2018,25316.529,0.5913528272,7645.51,1.318607915,2779.03,0.9809070071,7152.62,1.729436207,30958.21,-0.437380908,3067.15,-0.0276608578,6483.98,9.306324202
24th week of 2018,25090.481,0.6056898232,7746.38,1.288416009,2779.66,0.9804580416,7255.76,1.690637507,30309.49,-0.4253390605,3021.9,-0.01310102915,6149.98,9.866051597
25th week of 2018,24580.891,0.6389776107,7692.82,1.30434873,2754.88,0.998272157,7197.51,1.712413043,29338.7,-0.4063240703,2889.76,0.03202688113,6390.07,9.457788412
26th week of 2018,24271.41,0.6598759611,7510.3,1.360350452,2718.37,1.025110636,7040.8,1.772784343,28955.11,-0.3984592012,2847.42,0.04737270933,6756.98,8.889921237
27th week of 2018,24456.481,0.6473150818,7688.39,1.305676481,2759.82,0.9946953062,7207.33,1.708717375,28315.62,-0.3848737905,2747.23,0.08556982852,6251.99,9.6887567
28th week of 2018,25019.41,0.6102510011,7825.98,1.265139957,2801.31,0.9651520182,7375.82,1.646840622,28525.44,-0.3893983756,2831.18,0.05338056923,7398.78,8.032029605
29th week of 2018,25058.119,0.6077635356,7820.2,1.266814148,2801.83,0.9647872997,7350.23,1.656055661,28224.48,-0.3828874792,2829.27,0.0540916915,8225.04,7.124702129
30th week of 2018,25451.061,0.5829410805,7737.42,1.291066014,2818.82,0.9529448493,7296.78,1.675511664,28804.28,-0.3953093082,2873.59,0.03783420739,7009.84,8.533170515
31th week of 2018,25462.58,0.5822249748,7812.01,1.269190644,2840.35,0.9381414262,7395.49,1.639800743,27676.32,-0.3706648861,2740.44,0.08825954956,6232.35,9.722440171
32th week of 2018,25313.141,0.5915658195,7839.11,1.261345995,2833.28,0.9429777502,7408.3,1.635236154,28366.62,-0.3859797184,2795.31,0.06689776805,6387.96,9.461242713
33th week of 2018,25669.32,0.5694817782,7816.33,1.267936487,2850.13,0.9314908443,7377.54,1.646223538,27213.41,-0.3599596669,2668.97,0.1174010948,6733.64,8.924201472
34th week of 2018,25790.35,0.5621164505,7945.98,1.230931867,2874.69,0.9149890945,7485.4,1.608093088,27671.87,-0.3705636807,2729.43,0.09264938101,7200.01,8.281375998
35th week of 2018,25964.82,0.5516198456,8109.54,1.185936564,2901.52,0.8972814249,7654.55,1.550459531,27888.55,-0.3754540842,2725.25,0.09432529126,6185.05,9.804439738
36th week of 2018,25916.539,0.5545104229,7902.54,1.243195226,2871.68,0.9169963227,7430.26,1.627447761,26973.47,-0.3542662475,2702.3,0.1036191393,6514.96,9.257315471
37th week of 2018,26154.67,0.5403570376,8010.04,1.213090072,2904.98,0.8950216525,7545.5,1.587319594,27286.41,-0.3616719825,2681.64,0.1121216867,6723.05,8.939833855
38th week of 2018,26743.5,0.5064419392,7986.96,1.219485261,2929.67,0.8790512242,7531.07,1.59227706,27953.58,-0.3769070008,2797.48,0.06607017745,6596.38,9.130708055
39th week of 2018,26458.311,0.5226795845,8046.35,1.20310327,2913.98,0.8891687657,7627.65,1.559454091,27788.52,-0.3732059138,2821.35,0.05705070268,6594.27,9.133949626
40th week of 2018,26447.051,0.523327875,7788.45,1.276054927,2885.57,0.9077686558,7399.01,1.638544886,26572.57,-0.3445240713,,#DIV/0!,6332.93,9.552145689
41th week of 2018,25339.99,0.5898794751,7496.89,1.364572509,2767.13,0.9894258672,7157.21,1.727685788,25801.49,-0.3249351103,2606.91,0.1440019026,6588.4,9.142978568
42th week of 2018,25444.34,0.5833592068,7449.03,1.379764882,2767.78,0.98895866,7107.23,1.746867626,25561.4,-0.3185944432,2550.47,0.169317812,6505.6,9.272073291
43th week of 2018,24688.311,0.6318463422,7167.21,1.473338998,2658.69,1.070568588,6852.4,1.849019322,24717.63,-0.2953337355,2598.85,0.1475498778,6387.09,9.462667662
44th week of 2018,25270.83,0.5942305813,7356.99,1.409537053,2723.06,1.021622733,6965.29,1.802843816,26486.35,-0.3423903256,2676.48,0.114265752,6433.05,9.387918639
45th week of 2018,25989.301,0.5501582747,7406.9,1.393300841,2781.01,0.9794966577,7039.15,1.773434292,25601.92,-0.3196728995,2598.87,0.1475410467,5628.29,10.87323326
46th week of 2018,25413.221,0.585298062,7247.87,1.445813736,2736.27,1.011862864,6867.02,1.842953712,26183.53,-0.3347848819,2679.11,0.1131719116,3932.44,15.99352056
47th week of 2018,24285.949,0.6588822615,6938.98,1.554689594,2632.56,1.09112043,6527.35,1.990895233,25927.68,-0.3282206507,2579.48,0.1561671345,4190.02,14.94884989
